project;ID.num.QN;ID.num.Stoikos;ID.analysis;species;site;UTMx;UTMy;elevation;lat;long;habitat.red;expo;leaf_length;leaf_length_cv;leaf_width;leaf_width_cv;leaf_area;leaf_area_cv;leaf_form;leaf_form_cv;cell_length;cell_length_cv;cell_width;cell_width_cv;cell_wall;cell_wall_cv;cell_area;cell_area_cv;wac;wac_cv;mma;mma_cv;shoot.len;pleuro;mono;spo.freq;spo.dia;Zn;Pb;Ni;As;Co;Cd;B;Hg;Cr;Cu;Mn;Mg;S;Ca;P;Fe;Na;K;Al;N;C;d15N;d13C;annual_mean_temp;temp_seasonality;annual_precipitation;precip_driest_month;precip_seasonality
QN;60;NA;HylSpl-02;Hylocomium splendens;R-MTY-22;453861;4625321;1384.87;41.77839432;2.444807396;T;O;822.50275;0.279358636;375.0205833;0.161641364;225491.5833;0.167221593;2.24092255;0.13285142;43.531125;0.237944609;4.032384615;0.172471325;1.900634615;0.202145862;141.2274572;0.367697746;1.618152085;0.014245463;0.0442;0.207686045;175;1;0;1;15.5;22.7608493;0.936157965;4.79475688;0.309339154;0.472149234;0.195372097;6.357733655;0.065124032;195.372097;12.961932;24.421512;1497.852743;1253.637622;8132.363536;1685.084336;1408.307199;73.264536;7904.429423;455.868226;24.379667;460.037437;-7.078506429;-27.40523618;9.008333206;576.5643921;996;49;20.26036453
QN;85;NA;HylSpl-04;Hylocomium splendens;T-PLL-05;334924;4688269;1037.43;42.3291734;0.996432153;T;O;561.1769167;0.279358636;248.9125;0.161641364;104930.25;0.167221593;2.303544663;0.13285142;43.531125;0.237944609;4.032384615;0.172471325;1.900634615;0.202145862;141.2274572;0.367697746;1.65502451;0.014245463;0.0831;0.207686045;175;1;0;1;15.5;14.162867;0.787920278;2.419571854;0.236376083;0.469469166;0.02954701;10.09851157;0.026264009;19.698007;6.566002;88.641031;2219.308784;932.372329;5282.348865;2019.045713;994.749351;170.71606;8053.201844;1168.748413;8.068936;290.5400958;-4.603590703;-31.92329967;10.0625;622.2580566;859;55;18.83058739
QN;69;NA;HypCup-06;Hypnum cupressiforme;R-MTY-25;450711;4630463;1157.66;41.82451631;2.406477989;T;O;2076.75;0.971748108;699.5833333;1.732987202;928169.903;4.709813656;2.729511379;0.039090385;49.73190278;0.176724835;4.047972222;0.098012834;1.784277778;0.120124868;157.161992;0.167340565;2.30052356;0.235027508;0.0677;0.020504212;60;1;0;3;16;37.21786141;5.738304431;6.72673488;0.769113055;1.442086977;0.14120435;8.637500126;0.060086957;138.200002;10.839829;171.247829;2220.213076;943.365231;9145.234916;1493.160891;4713.821808;114.165219;4431.413108;5068.334856;14.138734;413.299095;-5.253868144;-27.96793338;9.858333588;579.6975708;897;49;19.1894455
QN;96;NA;HypCup-08;Hypnum cupressiforme;T-EMP-02;496465;4632657;188.91;41.84580299;2.957418494;T;P;2179.75;0.971748108;732;1.732987202;908166.6667;4.709813656;2.728776721;0.039090385;49.73190278;0.176724835;4.047972222;0.098012834;1.784277778;0.120124868;157.161992;0.167340565;2.876404494;0.235027508;0.0654;0.020504212;60;1;0;3;16;19.58593878;2.433536927;2.867136739;0.34956884;0.786529891;0.100837165;5.606546401;0.053779822;67.224777;6.722478;208.396809;1768.011635;877.28334;5226.726411;1109.20882;1774.734113;134.449554;4594.813508;1804.985262;17.878456;410.1771607;-6.3296777;-31.37525692;14.19583321;565.5064087;680;27;25.24171638
QN;267;NA;HypCup-13;Hypnum cupressiforme;T-BOU-01;335662;4678762;931.01;42.24376;1.0080828;T;O;2348.666667;0.971748108;704;1.732987202;1007560.156;4.709813656;3.345191407;0.039090385;49.73190278;0.176724835;4.047972222;0.098012834;1.784277778;0.120124868;157.161992;0.167340565;3.038491147;0.235027508;0.0681;0.020504212;60;1;0;3;16;12.88103555;1.026800525;2.453699186;0.251389094;0.453208508;0.028325532;2.899826311;0.031866223;60.191755;4.535626;60.191755;1104.695738;679.812762;6801.668307;470.911965;1101.155046;102.680053;2885.663545;987.852919;7.41;425;-8.358;-30.06;11.14999962;636.4746704;730;44;20.44321823
QN;21;NA;LepSmi-01;Leptodon smithii;R-MNG-03;464021;4613387;560.44;41.6714324;2.567780272;T;O;708.1679167;0.075400022;429.01875;0.019257683;243909.4167;0.024052591;1.665406488;0.161758709;12.49210112;0.141340084;6.429123596;0.16748673;2.051101124;0.264920594;62.73740424;0.191089852;1.826855124;0.010165043;0.0777;0.230935287;25;1;0;2;16;25.01243532;0.30743485;14.77427476;0.406046028;0.812092056;0.110212493;1.978024222;0.098611178;620.670357;14.462266;40.604603;667.075617;638.07233;11154.66445;417.647343;3109.152442;81.209206;3515.19847;255.228932;10.999702;439.464779;-6.460613003;-28.67503959;13.21666622;557.9725342;802;36;23.40925789
QN;31;NA;LepSmi-02;Leptodon smithii;R-MEN-06;585614;4426804;110;39.98707381;4.002781064;T;O;750.3761667;0.075400022;432.0953333;0.019257683;262221.6188;0.024052591;1.744160184;0.161758709;12.49210112;0.141340084;6.429123596;0.16748673;2.051101124;0.264920594;62.73740424;0.191089852;1.847348688;0.010165043;0.1059;0.230935287;25;1;0;2;16;79.8856553;21.03916686;7.752289917;1.856681494;1.856681494;2.204809274;24.47209358;0.196627728;48.351081;19.031495;438.38313;5424.991239;1624.596307;14241.00493;1705.181441;4706.171841;93.478756;4045.37374;5134.884756;7.667471;386.931858;-2.819348016;-28.64018224;16.30416679;533.4342651;611;5;49.65726089
QN;170;NA;LepSmi-04;Leptodon smithii;R-TAL-05;275007;4531412;972.17;40.90288568;0.328802372;T;O;771.13625;0.075400022;480.7258333;0.019257683;308964.5092;0.024052591;1.616800135;0.161758709;12.49210112;0.141340084;6.429123596;0.16748673;2.051101124;0.264920594;62.73740424;0.191089852;1.792272727;0.010165043;0.1029;0.230935287;25;1;0;2;16;22.41839078;4.415743639;4.418831571;0.972698774;1.130183337;0.166748361;23.85736738;0.064846585;30.879326;6.175865;114.253507;3196.010256;1241.348911;13945.10369;1553.230105;2343.740854;101.901776;3436.869;2927.360119;15.756766;384.8852869;-4.143401478;-27.81673534;12.15833282;616.5292358;547;20;30.17134285
QN;12;NA;LeuSci-02;Leucodon sciuroides;E-MOI-01;429310;4629429;808.58;41.81358362;2.148920739;T;O;2464.25;0.01457368;1070.5;0.04074641;1634250;0.035388396;2.311121116;0.021902233;31.1860566;0.181968867;5.791886792;0.149042992;1.937811321;0.297845821;143.7108332;0.279960166;2.118406889;0.199711976;0.1158;0.312372597;50;1;0;1;23;22.24884336;9.941378553;4.620864695;1.173502459;1.256188269;0.069964916;28.08773365;0.146290279;44.523129;6.432856;108.127598;3542.76894;810.956984;13455.52548;795.055866;3135.700337;305.301453;3380.577544;3905.314416;7.356904;433.044734;-6.49265934;-31.29929996;11.4958334;589.7474976;798;43;23.80868912
QN;83;NA;LeuSci-03;Leucodon sciuroides;E-PLL-06;334762;4674032;575.94;42.20099559;0.99852608;T;P;1754.416667;0.01457368;989;0.04074641;959236.2571;0.035388396;1.785464287;0.021902233;31.1860566;0.181968867;5.791886792;0.149042992;1.937811321;0.297845821;143.7108332;0.279960166;2.668385766;0.199711976;0.0985;0.312372597;50;1;0;1;23;15.60697625;1.648011343;3.352172988;1.777157036;0.786104218;0.044920241;14.26498405;0.025267636;47.727756;5.61503;44.920241;1179.156328;598.000709;16755.24991;429.549805;1959.645516;87.032967;1942.800425;2161.7866;5.448233;410.7556406;-6.274590172;-28.12811778;12.3166666;638.5720215;663;37;21.68233109
